comparison,condition,do_base_top_fraction,do_minus_top_fraction,do_plus_top_fraction,kappa,lambda_reward,mixture,model_seed,n_anchors,nn_base_top_fraction,nn_minus_top_fraction,nn_plus_top_fraction,obs_base_top_fraction,obs_minus_top_fraction,obs_plus_top_fraction,strict_disjoint_flip,top_set_disagreement
neural_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger12_balanced,2,78,0.1282051282051282,0.5769230769230769,0.2948717948717949,,,,0.44871794871794873,0.44871794871794873
observational_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger2_heavy,0,78,,,,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.0,0.0
neural_vs_observational,independent_latents,,,,0.3,0.1,logger2_heavy,0,78,0.20512820512820512,0.47435897435897434,0.32051282051282054,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.5128205128205128,0.5128205128205128
neural_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger2_heavy,0,78,0.20512820512820512,0.47435897435897434,0.32051282051282054,,,,0.5128205128205128,0.5128205128205128
observational_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger2_heavy,1,78,,,,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.0,0.0
neural_vs_observational,independent_latents,,,,0.3,0.1,logger2_heavy,1,78,0.16666666666666666,0.5,0.3333333333333333,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.48717948717948717,0.48717948717948717
neural_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger2_heavy,1,78,0.16666666666666666,0.5,0.3333333333333333,,,,0.48717948717948717,0.48717948717948717
observational_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger2_heavy,2,78,,,,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.0,0.0
neural_vs_observational,independent_latents,,,,0.3,0.1,logger2_heavy,2,78,0.1282051282051282,0.5769230769230769,0.2948717948717949,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.44871794871794873,0.44871794871794873
neural_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger2_heavy,2,78,0.1282051282051282,0.5769230769230769,0.2948717948717949,,,,0.44871794871794873,0.44871794871794873
observational_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger1_heavy,0,78,,,,0.0,0.0,1.0,0.9487179487179487,0.9487179487179487
neural_vs_observational,confounded,,,,0.3,0.2,logger1_heavy,0,78,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
neural_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger1_heavy,0,78,0.0,0.0,1.0,,,,0.9487179487179487,0.9487179487179487
observational_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger1_heavy,1,78,,,,0.0,0.0,1.0,0.9487179487179487,0.9487179487179487
neural_vs_observational,confounded,,,,0.3,0.2,logger1_heavy,1,78,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
neural_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger1_heavy,1,78,0.0,0.0,1.0,,,,0.9487179487179487,0.9487179487179487
observational_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger1_heavy,2,78,,,,0.0,0.0,1.0,0.9487179487179487,0.9487179487179487
neural_vs_observational,confounded,,,,0.3,0.2,logger1_heavy,2,78,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
neural_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger1_heavy,2,78,0.0,0.0,1.0,,,,0.9487179487179487,0.9487179487179487
observational_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger12_balanced,0,78,,,,0.0,0.0,1.0,0.9487179487179487,0.9487179487179487
neural_vs_observational,confounded,,,,0.3,0.2,logger12_balanced,0,78,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
neural_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger12_balanced,0,78,0.0,0.0,1.0,,,,0.9487179487179487,0.9487179487179487
observational_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger12_balanced,1,78,,,,0.0,0.0,1.0,0.9487179487179487,0.9487179487179487
neural_vs_observational,confounded,,,,0.3,0.2,logger12_balanced,1,78,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
neural_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger12_balanced,1,78,0.0,0.0,1.0,,,,0.9487179487179487,0.9487179487179487
observational_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger12_balanced,2,78,,,,0.0,0.0,1.0,0.9487179487179487,0.9487179487179487
neural_vs_observational,confounded,,,,0.3,0.2,logger12_balanced,2,78,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
neural_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger12_balanced,2,78,0.0,0.0,1.0,,,,0.9487179487179487,0.9487179487179487
observational_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger2_heavy,0,78,,,,0.0,0.0,1.0,0.9487179487179487,0.9487179487179487
neural_vs_observational,confounded,,,,0.3,0.2,logger2_heavy,0,78,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
neural_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger2_heavy,0,78,0.0,0.0,1.0,,,,0.9487179487179487,0.9487179487179487
observational_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger2_heavy,1,78,,,,0.0,0.0,1.0,0.9487179487179487,0.9487179487179487
neural_vs_observational,confounded,,,,0.3,0.2,logger2_heavy,1,78,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
neural_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger2_heavy,1,78,0.0,0.0,1.0,,,,0.9487179487179487,0.9487179487179487
observational_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger2_heavy,2,78,,,,0.0,0.0,1.0,0.9487179487179487,0.9487179487179487
neural_vs_observational,confounded,,,,0.3,0.2,logger2_heavy,2,78,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
neural_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger2_heavy,2,78,0.0,0.0,1.0,,,,0.9487179487179487,0.9487179487179487
observational_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger1_heavy,0,78,,,,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.0,0.0
neural_vs_observational,independent_latents,,,,0.3,0.2,logger1_heavy,0,78,0.20512820512820512,0.47435897435897434,0.32051282051282054,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.5128205128205128,0.5128205128205128
neural_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger1_heavy,0,78,0.20512820512820512,0.47435897435897434,0.32051282051282054,,,,0.5128205128205128,0.5128205128205128
observational_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger1_heavy,1,78,,,,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.0,0.0
neural_vs_observational,independent_latents,,,,0.3,0.2,logger1_heavy,1,78,0.16666666666666666,0.5,0.3333333333333333,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.48717948717948717,0.48717948717948717
neural_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger1_heavy,1,78,0.16666666666666666,0.5,0.3333333333333333,,,,0.48717948717948717,0.48717948717948717
observational_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger1_heavy,2,78,,,,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.0,0.0
neural_vs_observational,independent_latents,,,,0.3,0.2,logger1_heavy,2,78,0.1282051282051282,0.5769230769230769,0.2948717948717949,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.44871794871794873,0.44871794871794873
neural_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger1_heavy,2,78,0.1282051282051282,0.5769230769230769,0.2948717948717949,,,,0.44871794871794873,0.44871794871794873
observational_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger12_balanced,0,78,,,,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.0,0.0
neural_vs_observational,independent_latents,,,,0.3,0.2,logger12_balanced,0,78,0.20512820512820512,0.47435897435897434,0.32051282051282054,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.5128205128205128,0.5128205128205128
neural_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger12_balanced,0,78,0.20512820512820512,0.47435897435897434,0.32051282051282054,,,,0.5128205128205128,0.5128205128205128
observational_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger12_balanced,1,78,,,,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.0,0.0
neural_vs_observational,independent_latents,,,,0.3,0.2,logger12_balanced,1,78,0.16666666666666666,0.5,0.3333333333333333,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.48717948717948717,0.48717948717948717
neural_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger12_balanced,1,78,0.16666666666666666,0.5,0.3333333333333333,,,,0.48717948717948717,0.48717948717948717
observational_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger12_balanced,2,78,,,,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.0,0.0
neural_vs_observational,independent_latents,,,,0.3,0.2,logger12_balanced,2,78,0.1282051282051282,0.5769230769230769,0.2948717948717949,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.44871794871794873,0.44871794871794873
neural_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger12_balanced,2,78,0.1282051282051282,0.5769230769230769,0.2948717948717949,,,,0.44871794871794873,0.44871794871794873
observational_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger2_heavy,0,78,,,,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.0,0.0
neural_vs_observational,independent_latents,,,,0.3,0.2,logger2_heavy,0,78,0.20512820512820512,0.47435897435897434,0.32051282051282054,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.5128205128205128,0.5128205128205128
neural_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger2_heavy,0,78,0.20512820512820512,0.47435897435897434,0.32051282051282054,,,,0.5128205128205128,0.5128205128205128
observational_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger2_heavy,1,78,,,,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.0,0.0
neural_vs_observational,independent_latents,,,,0.3,0.2,logger2_heavy,1,78,0.16666666666666666,0.5,0.3333333333333333,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.48717948717948717,0.48717948717948717
neural_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger2_heavy,1,78,0.16666666666666666,0.5,0.3333333333333333,,,,0.48717948717948717,0.48717948717948717
observational_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger2_heavy,2,78,,,,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.0,0.0
neural_vs_observational,independent_latents,,,,0.3,0.2,logger2_heavy,2,78,0.1282051282051282,0.5769230769230769,0.2948717948717949,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.44871794871794873,0.44871794871794873
neural_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.2,logger2_heavy,2,78,0.1282051282051282,0.5769230769230769,0.2948717948717949,,,,0.44871794871794873,0.44871794871794873
